Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
3285;NASA;Klostermansfeld;6;Sachsen-Anhalt;3,34 €;8,90 €;
8021;NASA;Klostermansfeld Randsiedlung;7;Sachsen-Anhalt;2,77 €;7,39 €;
3287;ZVRP Nord;Klotten;6;Rheinland-Pfalz;2,27 €;5,85 €;
3295;RVB;Knesebeck;6;Niedersachsen;4,87 €;10,77 €;
6370;VM BW;Knittlingen-Kleinvillars;7;Baden-Württemberg;1,90 €;5,07 €;
3296;ZÖPNV Süd;Knöringen-Essingen;6;Rheinland-Pfalz;1,99 €;5,22 €;
3297;ZVRP Nord;Kobern-Gondorf;5;Rheinland-Pfalz;2,59 €;5,24 €;
3299;ZVRP Nord;Koblenz Hbf;2;Rheinland-Pfalz;18,55 €;48,01 €;
8258;ZVRP Nord;Koblenz Stadtmitte;4;Rheinland-Pfalz;4,57 €;11,36 €;
3300;ZVRP Nord;Koblenz-Ehrenbreitstein;5;Rheinland-Pfalz;2,59 €;5,24 €;
2408;ZVRP Nord;Koblenz-Güls;6;Rheinland-Pfalz;2,27 €;5,85 €;
3301;ZVRP Nord;Koblenz-Lützel;5;Rheinland-Pfalz;2,59 €;5,24 €;
3302;ZVRP Nord;Koblenz-Moselweiß;6;Rheinland-Pfalz;2,27 €;5,85 €;
3304;BEG;Kochel;6;Bayern;2,89 €;7,59 €;
3305;ZVON;Kodersdorf;6;Sachsen;3,28 €;8,70 €;
3306;BEG;Köditz;7;Bayern;2,13 €;5,65 €;
3308;BEG;Köfering;6;Bayern;2,89 €;7,59 €;
3309;go.R;Kohlscheid;6;Nordrhein-Westfalen;3,77 €;8,76 €;
3312;BEG;Kolbermoor;6;Bayern;2,89 €;7,59 €;
3313;VBB;Kolkwitz;6;Brandenburg;3,98 €;10,22 €;
3314;VBB;Kolkwitz Süd;6;Brandenburg;3,98 €;10,22 €;
3315;TLBV;Kölleda;7;Thüringen;2,70 €;7,22 €;
3316;VM BW;Kollmarsreute;6;Baden-Württemberg;2,35 €;6,18 €;
3317;VM BW;Kollnau;6;Baden-Württemberg;2,35 €;6,18 €;
3318;VBB Berlin;Köllnische Heide;5;Berlin;1,96 €;5,19 €;
2070;go.R;Köln Airport-Businesspark;6;Nordrhein-Westfalen;3,77 €;8,76 €;
5343;go.R;Köln Frankfurter Straße;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3319;go.R;Köln Geldernstr/Parkgürtel;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3331;go.R;Köln Hansaring;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3320;go.R;Köln Hbf;1;Nordrhein-Westfalen;17,74 €;47,34 €;
3329;go.R;Köln Messe/Deutz;1;Nordrhein-Westfalen;17,74 €;47,34 €;
2090;go.R;Köln Steinstraße;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3321;go.R;Köln Süd;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3322;go.R;Köln Trimbornstrasse;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3323;go.R;Köln Volkhovener Weg;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3324;go.R;Köln West;4;Nordrhein-Westfalen;2,69 €;6,76 €;
4762;go.R;Köln/Bonn Flughafen;3;Nordrhein-Westfalen;5,27 €;13,91 €;
7651;go.R;Köln-Blumenberg;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3325;go.R;Köln-Buchforst;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3326;go.R;Köln-Chorweiler;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3327;go.R;Köln-Chorweiler Nord;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3328;go.R;Köln-Dellbrück;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3330;go.R;Köln-Ehrenfeld;3;Nordrhein-Westfalen;5,27 €;13,91 €;
3332;go.R;Köln-Holweide;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3335;go.R;Köln-Longerich;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3336;go.R;Köln-Mülheim;3;Nordrhein-Westfalen;5,27 €;13,91 €;
5335;go.R;Köln-Müngersdorf Technologiepark;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3337;go.R;Köln-Nippes;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3338;go.R;Köln-Stammheim;5;Nordrhein-Westfalen;2,69 €;7,09 €;
8131;go.R;Köln-Weiden West;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3339;go.R;Köln-Worringen;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3342;VM BW;Köndringen;6;Baden-Württemberg;2,35 €;6,18 €;
3343;VBB;Königs Wusterhausen;3;Brandenburg;7,57 €;20,21 €;
3346;NASA;Königsborn;6;Sachsen-Anhalt;3,34 €;8,90 €;
3347;VM BW;Königsbronn;6;Baden-Württemberg;2,35 €;6,18 €;
3348;VVO;Königsbrück;7;Sachsen;2,46 €;6,58 €;
3352;VM BW;Königshofen (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
3354;RVB;Königslutter;4;Niedersachsen;9,96 €;26,55 €;
3355;ZVRP Nord;Königsstollen;7;Rheinland-Pfalz;2,00 €;4,62 €;
3356;VVO;Königstein (Sächs Schweiz);5;Sachsen;2,08 €;5,53 €;
3357;BWVI;Königstraße;4;Hamburg;2,79 €;6,93 €;
3360;go.R;Königswinter;4;Nordrhein-Westfalen;2,69 €;6,76 €;
3361;TLBV;Könitz (Thür);7;Thüringen;2,70 €;7,22 €;
3362;NASA;Könnern;5;Sachsen-Anhalt;3,29 €;8,62 €;
3363;VM BW;Konstanz;3;Baden-Württemberg;5,29 €;13,61 €;
8047;VM BW;Konstanz Fürstenberg;6;Baden-Württemberg;2,35 €;6,18 €;
3364;VM BW;Konstanz-Petershausen;5;Baden-Württemberg;2,91 €;7,35 €;
3365;VM BW;Konstanz-Wollmatingen;5;Baden-Württemberg;2,91 €;7,35 €;
3367;ZVRP Nord;Konz;5;Rheinland-Pfalz;2,59 €;5,24 €;
1096;ZVRP Nord;Konz Mitte;6;Rheinland-Pfalz;2,27 €;5,85 €;
3373;ZVRP Nord;Kordel;6;Rheinland-Pfalz;2,27 €;5,85 €;
3374;VM BW;Kork;6;Baden-Württemberg;2,35 €;6,18 €;
3375;NVV;Körle;5;Hessen;1,98 €;5,13 €;
3377;VRStutt;Korntal;4;Baden-Württemberg;2,90 €;7,74 €;
3378;BWVI;Kornweg (Klein Borstel);6;Hamburg;2,31 €;5,89 €;
3379;VRStutt;Kornwestheim Pbf;3;Baden-Württemberg;2,90 €;7,67 €;
3380;VRR;Korschenbroich;6;Nordrhein-Westfalen;2,76 €;7,00 €;
3382;NASA;Köthen;3;Sachsen-Anhalt;6,59 €;17,26 €;
3383;BEG;Kothmaißling;6;Bayern;2,89 €;7,59 €;
3386;ZVRP Nord;Kottenheim;6;Rheinland-Pfalz;2,27 €;5,85 €;
3387;VVO;Köttewitz;7;Sachsen;2,46 €;6,58 €;
3389;NASA;Kötzschau;6;Sachsen-Anhalt;3,34 €;8,90 €;
3391;ZVRP Nord;Kövenig;7;Rheinland-Pfalz;2,00 €;4,62 €;
3392;TLBV;Kraftsdorf;7;Thüringen;2,70 €;7,22 €;
3393;VBB;Kraftwerk Finkenheerd;6;Brandenburg;3,98 €;10,22 €;
3394;NWL;Kraghammer;6;Nordrhein-Westfalen;3,85 €;9,87 €;
3397;TLBV;Kranichfeld;7;Thüringen;2,70 €;7,22 €;
3399;VMV;Kratzeburg;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3402;NWL;Kredenbach;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3403;VRR;Krefeld Hbf;3;Nordrhein-Westfalen;4,71 €;11,77 €;
2837;VRR;Krefeld-Hohenbudberg Chempark;6;Nordrhein-Westfalen;2,76 €;7,00 €;
3404;VRR;Krefeld-Linn;5;Nordrhein-Westfalen;2,32 €;5,93 €;
3405;VRR;Krefeld-Oppum;4;Nordrhein-Westfalen;2,49 €;6,29 €;
3406;VRR;Krefeld-Uerdingen;5;Nordrhein-Westfalen;2,32 €;5,93 €;
3407;LNVG;Kreiensen;4;Niedersachsen;4,96 €;13,09 €;
3408;ZÖPNV Süd;Kreimbach-Kaulbach;7;Rheinland-Pfalz;1,49 €;4,01 €;
3409;VBB;Kremmen;6;Brandenburg;3,98 €;10,22 €;
3410;NAH.SH;Krempe;6;Schleswig-Holstein;3,53 €;9,43 €;
7255;NAH.SH;Kremperheide;6;Schleswig-Holstein;3,53 €;9,43 €;
3411;ZVNL;Krensitz;6;Sachsen;2,56 €;6,83 €;
3412;VM BW;Kressbronn;5;Baden-Württemberg;2,91 €;7,35 €;
3415;ZVRP Nord;Kreuz Konz;6;Rheinland-Pfalz;2,27 €;5,85 €;
3416;ZVRP Nord;Kreuzberg (Ahr);6;Rheinland-Pfalz;2,27 €;5,85 €;
3419;BEG;Kreuzstraße;6;Bayern;2,89 €;7,59 €;
3420;NWL;Kreuztal;4;Nordrhein-Westfalen;5,03 €;11,82 €;
1496;NWL;Kreuztal-Eichen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
3750;NWL;Kreuztal-Littfeld;6;Nordrhein-Westfalen;3,85 €;9,87 €;
3423;RMV;Kriftel;4;Hessen;2,78 €;6,42 €;
3424;VVO;Krippen;6;Sachsen;2,85 €;7,61 €;
3426;TLBV;Krölpa-Ranis;7;Thüringen;2,70 €;7,22 €;
3427;BEG;Kronach;5;Bayern;2,72 €;7,01 €;
3428;RMV;Kronberg (Taunus);5;Hessen;2,40 €;6,30 €;
7986;RMV;Kronberg (Taunus) Süd;6;Hessen;2,48 €;6,52 €;
7257;NAH.SH;Kronshagen;7;Schleswig-Holstein;2,21 €;5,91 €;
3429;VMV;Kronskamp;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
3430;ZÖPNV Süd;Kronweiler;6;Rheinland-Pfalz;1,99 €;5,22 €;
3431;VMV;Kröpelin;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3435;ZVRP Nord;Kruft;6;Rheinland-Pfalz;2,27 €;5,85 €;
3437;BEG;Krumbach (Schwab);6;Bayern;2,89 €;7,59 €;
3438;BEG;Krumbach (Schwab) Schule;6;Bayern;2,89 €;7,59 €;
3439;VVO;Krumhermsdorf;7;Sachsen;2,46 €;6,58 €;
3442;NASA;Krumpa;6;Sachsen-Anhalt;3,34 €;8,90 €;
3443;NAH.SH;Krupunder;4;Schleswig-Holstein;4,78 €;12,76 €;
3444;ZVON;Kubschütz;6;Sachsen;3,28 €;8,70 €;
3445;VM BW;Kuchen;6;Baden-Württemberg;2,35 €;6,18 €;
3454;TLBV;Kühnhausen;5;Thüringen;3,74 €;9,97 €;
3455;ZVNL;Kühren;6;Sachsen;2,56 €;6,83 €;
3458;BEG;Kulmbach;4;Bayern;3,19 €;7,89 €;
3459;VMV;Kummerow (b Stralsund);7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3460;VBB;Kummersdorf (b Storkow);7;Brandenburg;3,21 €;8,56 €;
4861;VBB;Kunersdorf;6;Brandenburg;3,98 €;10,22 €;
3463;NWL;Künsebeck;6;Nordrhein-Westfalen;3,85 €;9,87 €;
3464;NWL;Küntrop;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3465;NAH.SH;Kupfermühle;6;Schleswig-Holstein;3,53 €;9,43 €;
3467;BEG;Küps;6;Bayern;2,89 €;7,59 €;
3468;ZVV;Kürbitz;6;Sachsen;3,51 €;9,38 €;
86;VVO;Kurort Altenberg (Erzgeb);5;Sachsen;2,08 €;5,53 €;
3475;VVO;Kurort Rathen (Kr Pirna);6;Sachsen;2,85 €;7,61 €;
3476;ZÖPNV Süd;Kusel;6;Rheinland-Pfalz;1,99 €;5,22 €;
3478;VBB;Küstrin-Kietz;6;Brandenburg;3,98 €;10,22 €;
3479;BEG;Kutzenhausen;6;Bayern;2,89 €;7,59 €;
3481;ZVNL;Kyhna;6;Sachsen;2,56 €;6,83 €;
3482;ZVRP Nord;Kyllburg;6;Rheinland-Pfalz;2,27 €;5,85 €;
3484;BEG;Laaber;6;Bayern;2,89 €;7,59 €;
3485;VMV;Laage (Meckl);7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3489;BEG;Laberweinting;7;Bayern;2,13 €;5,65 €;
3490;VM BW;Ladenburg;4;Baden-Württemberg;3,92 €;10,18 €;
3491;NWL;Lage (Lippe);4;Nordrhein-Westfalen;5,03 €;11,82 €;
3492;BEG;Lagerlechfeld;6;Bayern;2,89 €;7,59 €;
3494;VM BW;Lahr (Schwarzw);4;Baden-Württemberg;3,92 €;10,18 €;
3496;VMV;Lalendorf;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3497;ZÖPNV Süd;Lambrecht (Pfalz);4;Rheinland-Pfalz;2,84 €;7,40 €;
3498;ZÖPNV Süd;Lambsheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
3500;VRN;Lampertheim;4;Hessen;3,47 €;8,57 €;
3501;ZÖPNV Süd;Lampertsmühle-Otterbach;6;Rheinland-Pfalz;1,99 €;5,22 €;
3502;VVO;Lampertswalde;6;Sachsen;2,85 €;7,61 €;
3503;VMV;Lancken;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
3504;BEG;Landau (Isar);5;Bayern;2,72 €;7,01 €;
3505;ZÖPNV Süd;Landau (Pfalz) Hbf;4;Rheinland-Pfalz;2,84 €;7,40 €;
8283;ZÖPNV Süd;Landau (Pfalz) Süd;6;Rheinland-Pfalz;1,99 €;5,22 €;
3506;ZÖPNV Süd;Landau (Pfalz) West;6;Rheinland-Pfalz;1,99 €;5,22 €;
3507;NASA;Landsberg (b Halle/Saale);6;Sachsen-Anhalt;3,34 €;8,90 €;
3508;NASA;Landsberg (b Halle/Saale) Süd;6;Sachsen-Anhalt;3,34 €;8,90 €;
3509;BEG;Landsberg (Lech);6;Bayern;2,89 €;7,59 €;
3510;BEG;Landsberg (Lech) Schule;6;Bayern;2,89 €;7,59 €;
3511;VBB Berlin;Landsberger Allee;4;Berlin;2,00 €;5,33 €;
3513;BEG;Landshut (Bay) Hbf;2;Bayern;13,72 €;36,53 €;
3515;ZÖPNV Süd;Landstuhl;3;Rheinland-Pfalz;3,96 €;10,57 €;
3516;ZPS;Landsweiler-Reden;5;Saarland;1,58 €;4,00 €;
3517;BWVI;Landungsbrücken;4;Hamburg;2,79 €;6,93 €;
3518;BWVI;Landwehr;4;Hamburg;2,79 €;6,93 €;
3519;RMV;Lang Göns;5;Hessen;2,40 €;6,30 €;
3520;BEG;Langdorf;7;Bayern;2,13 €;5,65 €;
3521;VVO;Langebrück (Sachs);5;Sachsen;2,08 €;5,53 €;
3523;RVB;Langelsheim;6;Niedersachsen;4,87 €;10,77 €;
3524;RMV;Langen (Hess);4;Hessen;2,78 €;6,42 €;
3525;VM BW;Langenargen;6;Baden-Württemberg;2,35 €;6,18 €;
3527;VM BW;Langenau (Württ);5;Baden-Württemberg;2,91 €;7,35 €;
3528;BEG;Langenbach (Oberbay);6;Bayern;2,89 €;7,59 €;
3533;NASA;Langendorf;7;Sachsen-Anhalt;2,77 €;7,39 €;
3534;NASA;Langeneichstädt;7;Sachsen-Anhalt;2,77 €;7,39 €;
3535;VRR;Langenfeld (Rheinl);5;Nordrhein-Westfalen;2,32 €;5,93 €;
3536;VRR;Langenfeld (Rheinl)-Berghausen;5;Nordrhein-Westfalen;2,32 €;5,93 €;
3537;BWVI;Langenfelde;4;Hamburg;2,79 €;6,93 €;
8023;RMV;Langen-Flugsicherung;5;Hessen;2,40 €;6,30 €;
3093;RH;Langenhagen - Kaltenweide;5;Niedersachsen;4,35 €;11,59 €;
3539;RH;Langenhagen Pferdemarkt;4;Niedersachsen;4,42 €;11,76 €;
7179;RH;Langenhagen-Mitte;3;Niedersachsen;5,51 €;14,71 €;
3540;ZVRP Nord;Langenhahn;6;Rheinland-Pfalz;2,27 €;5,85 €;
3542;NAH.SH;Langenhorn (Schlesw);5;Schleswig-Holstein;3,75 €;9,91 €;
3545;ZÖPNV Süd;Langenlonsheim;6;Rheinland-Pfalz;1,99 €;5,22 €;
3547;TLBV;Langenorla Ost;7;Thüringen;2,70 €;7,22 €;
3548;TLBV;Langenorla West;7;Thüringen;2,70 €;7,22 €;
3549;BEG;Langenprozelten;6;Bayern;2,89 €;7,59 €;
3550;RMV;Langenselbold;4;Hessen;2,78 €;6,42 €;
3551;NASA;Langenstein;6;Sachsen-Anhalt;3,34 €;8,90 €;
3552;BEG;Langenwang (Schwab);6;Bayern;2,89 €;7,59 €;
3553;NASA;Langenweddingen;6;Sachsen-Anhalt;3,34 €;8,90 €;
3554;VVO;Langenwolmsdorf;7;Sachsen;2,46 €;6,58 €;
3555;VVO;Langenwolmsdorf Mitte;7;Sachsen;2,46 €;6,58 €;
3556;BEG;Langenzenn;6;Bayern;2,89 €;7,59 €;
3557;go.R;Langerwehe;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3559;VMV;Langhagen;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
3560;BEG;Langlau;7;Bayern;2,13 €;5,65 €;
3563;RMV;Langsdorf (Oberhess);6;Hessen;2,48 €;6,52 €;
3565;LNVG;Langwedel;4;Niedersachsen;4,96 €;13,09 €;
3566;BEG;Langweid (Lech);5;Bayern;2,72 €;7,01 €;
7144;VBB Berlin;Lankwitz;6;Berlin;2,00 €;5,32 €;
3568;LNVG;Lathen;6;Niedersachsen;4,23 €;10,34 €;
3569;BEG;Laubendorf;6;Bayern;2,89 €;7,59 €;
3570;ZÖPNV Süd;Laubenheim (Nahe);6;Rheinland-Pfalz;1,99 €;5,22 €;
3571;NASA;Laucha (Unstrut);7;Sachsen-Anhalt;2,77 €;7,39 €;
3573;VBB;Lauchhammer;6;Brandenburg;3,98 €;10,22 €;
3574;VM BW;Lauchheim;6;Baden-Württemberg;2,35 €;6,18 €;
3575;VM BW;Lauchringen;6;Baden-Württemberg;2,35 €;6,18 €;
8048;VM BW;Lauchringen West;6;Baden-Württemberg;2,35 €;6,18 €;
3576;VM BW;Lauda;5;Baden-Württemberg;2,91 €;7,35 €;
3578;VM BW;Laudenbach (Bergstr);4;Baden-Württemberg;3,92 €;10,18 €;
3580;LNVG;Lauenbrück;5;Niedersachsen;4,79 €;12,40 €;
3581;NAH.SH;Lauenburg (Elbe);6;Schleswig-Holstein;3,53 €;9,43 €;
3582;LNVG;Lauenförde-Beverungen;6;Niedersachsen;4,23 €;10,34 €;
3583;VVO;Lauenstein (Sachs);7;Sachsen;2,46 €;6,58 €;
3584;BEG;Lauf (links Pegnitz);5;Bayern;2,72 €;7,01 €;
3585;BEG;Lauf (rechts Pegnitz);5;Bayern;2,72 €;7,01 €;
3586;BEG;Lauf West;6;Bayern;2,89 €;7,59 €;
3587;BEG;Laufach;6;Bayern;2,89 €;7,59 €;
3589;VM BW;Laufenburg (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
3590;VM BW;Laufenburg (Baden) Ost;6;Baden-Württemberg;2,35 €;6,18 €;
3591;VM BW;Lauffen (Neckar);4;Baden-Württemberg;3,92 €;10,18 €;
3592;BEG;Lauingen;6;Bayern;2,89 €;7,59 €;
7892;VM BW;Laupheim Stadt;6;Baden-Württemberg;2,35 €;6,18 €;
3593;VM BW;Laupheim West;4;Baden-Württemberg;3,92 €;10,18 €;
3594;ZVRP Nord;Laurenburg (Lahn);6;Rheinland-Pfalz;2,27 €;5,85 €;
3595;TLBV;Lauscha (Thür);7;Thüringen;2,70 €;7,22 €;
3598;VVO;Laußnitz;6;Sachsen;2,85 €;7,61 €;
3599;VVO;Lauta (Niederlausitz);6;Sachsen;2,85 €;7,61 €;
3600;VM BW;Lautenbach (Baden);7;Baden-Württemberg;1,90 €;5,07 €;
3602;RMV;Lauterbach (Hess) Nord;6;Hessen;2,48 €;6,52 €;
3604;ZVNL;Lauterbach-Steinbach;6;Sachsen;2,56 €;6,83 €;
3605;ZÖPNV Süd;Lauterecken-Grumbach;6;Rheinland-Pfalz;1,99 €;5,22 €;
3606;ZPS;Lebach;6;Saarland;1,54 €;4,04 €;
7964;ZPS;Lebach-Jabach;6;Saarland;1,54 €;4,04 €;
3609;LNVG;Leer (Ostfriesl);3;Niedersachsen;9,17 €;24,07 €;
3610;LNVG;Leese-Stolzenau;6;Niedersachsen;4,23 €;10,34 €;
3611;NWL;Legden;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3612;TLBV;Legefeld;7;Thüringen;2,70 €;7,22 €;
3613;VM BW;Legelshurst;6;Baden-Württemberg;2,35 €;6,18 €;
3614;ZVRP Nord;Lehmen;6;Rheinland-Pfalz;2,27 €;5,85 €;
3615;TLBV;Lehndorf (Kr Altenburg);5;Thüringen;3,74 €;9,97 €;
3616;RMV;Lehnheim;7;Hessen;1,88 €;4,96 €;
3617;VBB;Lehnitz;5;Brandenburg;3,44 €;9,13 €;
3620;RH;Lehrte;3;Niedersachsen;5,51 €;14,71 €;
3621;go.R;Leichlingen;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3622;RVB;Leiferde (b Gifhorn);6;Niedersachsen;4,87 €;10,77 €;
3625;TLBV;Leinefelde;3;Thüringen;9,93 €;26,53 €;
3626;VRStutt;Leinfelden;4;Baden-Württemberg;2,90 €;7,74 €;
3629;BEG;Leipheim;5;Bayern;2,72 €;7,01 €;
146;ZVNL;Leipzig Anger-Crottendorf;6;Sachsen;2,56 €;6,83 €;
8099;ZVNL;Leipzig Bayerischer Bahnhof;5;Sachsen;3,24 €;8,61 €;
1070;ZVNL;Leipzig Coppiplatz;5;Sachsen;3,24 €;8,61 €;
8312;ZVNL;Leipzig Essener Straße;5;Sachsen;3,24 €;8,61 €;
2386;ZVNL;Leipzig Grünauer Allee;6;Sachsen;2,56 €;6,83 €;
3631;ZVNL;Leipzig Hbf;1;Sachsen;29,94 €;79,92 €;
3113;ZVNL;Leipzig Karlsruher Straße;6;Sachsen;2,56 €;6,83 €;
8097;ZVNL;Leipzig Markt;5;Sachsen;3,24 €;8,61 €;
8100;ZVNL;Leipzig MDR;6;Sachsen;2,56 €;6,83 €;
7848;ZVNL;Leipzig Messe;3;Sachsen;3,00 €;8,00 €;
4112;ZVNL;Leipzig Miltitz;6;Sachsen;2,56 €;6,83 €;
4114;ZVNL;Leipzig Miltitzer Allee;5;Sachsen;3,24 €;8,61 €;
8276;ZVNL;Leipzig Mockauer Straße;5;Sachsen;3,24 €;8,61 €;
8275;ZVNL;Leipzig Nord;6;Sachsen;2,56 €;6,83 €;
1596;ZVNL;Leipzig Werkstättenstraße;6;Sachsen;2,56 €;6,83 €;
8098;ZVNL;Leipzig Wilhelm-Leuschner-Platz;5;Sachsen;3,24 €;8,61 €;
3636;ZVNL;Leipzig-Connewitz;5;Sachsen;3,24 €;8,61 €;
8018;ZVNL;Leipzig-Engelsdorf;5;Sachsen;3,24 €;8,61 €;
3637;ZVNL;Leipzig-Gohlis;4;Sachsen;2,95 €;7,87 €;
3639;ZVNL;Leipzig-Heiterblick;6;Sachsen;2,56 €;6,83 €;
2885;ZVNL;Leipzig-Holzhausen;7;Sachsen;2,79 €;7,45 €;
3641;ZVNL;Leipzig-Knauthain;6;Sachsen;2,56 €;6,83 €;
3642;ZVNL;Leipzig-Leutzsch;5;Sachsen;3,24 €;8,61 €;
3711;ZVNL;Leipzig-Liebertwolkwitz;6;Sachsen;2,56 €;6,83 €;
3731;ZVNL;Leipzig-Lindenau;6;Sachsen;2,56 €;6,83 €;
3877;ZVNL;Leipzig-Lützschena;6;Sachsen;2,56 €;6,83 €;
3643;ZVNL;Leipzig-Möckern;4;Sachsen;2,95 €;7,87 €;
4157;ZVNL;Leipzig-Mölkau;7;Sachsen;2,79 €;7,45 €;
8094;ZVNL;Leipzig-Olbrichtstraße;6;Sachsen;2,56 €;6,83 €;
3644;ZVNL;Leipzig-Paunsdorf;5;Sachsen;3,24 €;8,61 €;
3645;ZVNL;Leipzig-Plagwitz;5;Sachsen;3,24 €;8,61 €;
5412;ZVNL;Leipzig-Rückmarsdorf;6;Sachsen;2,56 €;6,83 €;
5816;ZVNL;Leipzig-Sellerhausen;6;Sachsen;2,56 €;6,83 €;
8096;ZVNL;Leipzig-Slevogtstraße;6;Sachsen;2,56 €;6,83 €;
3646;ZVNL;Leipzig-Stötteritz;4;Sachsen;2,95 €;7,87 €;
3647;ZVNL;Leipzig-Thekla;5;Sachsen;3,24 €;8,61 €;
3632;ZVNL;Leipzig-Völkerschlachtdenkmal;5;Sachsen;3,24 €;8,61 €;
3649;ZVNL;Leipzig-Wahren;5;Sachsen;3,24 €;8,61 €;
3650;VMS;Leisnig;6;Sachsen;3,63 €;9,66 €;
3651;NASA;Leißling;6;Sachsen-Anhalt;3,34 €;8,90 €;
3652;LNVG;Leitstade;7;Niedersachsen;2,85 €;7,60 €;
3654;VRR;Lembeck;6;Nordrhein-Westfalen;2,76 €;7,00 €;
3655;LNVG;Lemförde;5;Niedersachsen;4,79 €;12,40 €;
3657;RH;Lemmie;5;Niedersachsen;4,35 €;11,59 €;
3658;NWL;Lendringsen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
894;RVB;Lengede-Broistedt;6;Niedersachsen;4,87 €;10,77 €;
3660;ZVV;Lengenfeld (Vogtl);6;Sachsen;3,51 €;9,38 €;
3661;BEG;Lengenwang;6;Bayern;2,89 €;7,59 €;
3662;NWL;Lengerich (Westf);5;Nordrhein-Westfalen;3,91 €;9,89 €;
3664;BEG;Lenggries;6;Bayern;2,89 €;7,59 €;
8085;LNVG;Lenglern;7;Niedersachsen;2,85 €;7,60 €;
104;NWL;Lennestadt-Altenhundem;4;Nordrhein-Westfalen;5,03 €;11,82 €;
2264;NWL;Lennestadt-Grevenbrück;5;Nordrhein-Westfalen;3,91 €;9,89 €;
4024;NWL;Lennestadt-Meggen;6;Nordrhein-Westfalen;3,85 €;9,87 €;
3666;NAH.SH;Lensahn;7;Schleswig-Holstein;2,21 €;5,91 €;
3667;VRStutt;Leonberg;4;Baden-Württemberg;2,90 €;7,74 €;
3668;NWL;Leopoldstal;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3669;LNVG;Leschede;6;Niedersachsen;4,23 €;10,34 €;
3671;NWL;Letmathe-Dechenhöhle;7;Nordrhein-Westfalen;2,48 €;6,41 €;
3672;VBB;Letschin;6;Brandenburg;3,98 €;10,22 €;
3673;NWL;Lette (Kr Coesfeld);7;Nordrhein-Westfalen;2,48 €;6,41 €;
3674;RH;Letter;5;Niedersachsen;4,35 €;11,59 €;
3676;TLBV;Leubingen;6;Thüringen;3,43 €;9,13 €;
3677;ZVRP Nord;Leubsdorf (Rhein);6;Rheinland-Pfalz;2,27 €;5,85 €;
831;RMV;Leun/Braunfels;6;Hessen;2,48 €;6,52 €;
3681;NASA;Leuna Werke Nord;6;Sachsen-Anhalt;3,34 €;8,90 €;
3682;NASA;Leuna Werke Süd;6;Sachsen-Anhalt;3,34 €;8,90 €;
3683;TLBV;Leutenberg;6;Thüringen;3,43 €;9,13 €;
3684;BEG;Leuterschach;7;Bayern;2,13 €;5,65 €;
3686;BEG;Leutershausen-Wiedersbach;6;Bayern;2,89 €;7,59 €;
3687;ZVRP Nord;Leutesdorf (Rhein);5;Rheinland-Pfalz;2,59 €;5,24 €;
3688;VBB;Leuthen (b Cottbus);6;Brandenburg;3,98 €;10,22 €;
3689;VM BW;Leutkirch;5;Baden-Württemberg;2,91 €;7,35 €;
437;go.R;Leverkusen Chempark;5;Nordrhein-Westfalen;2,69 €;7,09 €;
3691;go.R;Leverkusen Mitte;4;Nordrhein-Westfalen;2,69 €;6,76 €;
